epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,604.686,1.88467,2.40454,1.93801,0.33579,0.35348,0.25826,0.07678,2.32631,3.04195,2.41353,0.000662393,0.000662393,0.000662393
2,815.535,1.85002,2.0631,1.88328,0.45712,0.36796,0.3363,0.11031,2.35923,2.44644,2.28793,0.00130274,0.00130274,0.00130274
3,1038.83,1.85292,2.03715,1.9421,0.38038,0.29675,0.28724,0.09016,2.43595,2.41535,2.48496,0.0019167,0.0019167,0.0019167
4,1260.5,1.84576,1.97414,1.91296,0.45449,0.41463,0.37472,0.12332,2.348,2.35554,2.38852,0.0018812,0.0018812,0.0018812
5,1562.14,1.82106,1.87967,1.87451,0.48916,0.4248,0.40969,0.13242,2.26012,2.11865,2.24342,0.0018416,0.0018416,0.0018416
6,1775.84,1.80292,1.88388,1.86796,0.4939,0.4248,0.42502,0.1476,2.29401,1.98271,2.3303,0.001802,0.001802,0.001802
7,1992.85,1.75045,1.80213,1.82669,0.53232,0.43496,0.42523,0.15602,2.27716,2.09261,2.2255,0.0017624,0.0017624,0.0017624
8,2221.46,1.75088,1.79294,1.84137,0.524,0.45325,0.43303,0.14031,2.35662,1.9313,2.42782,0.0017228,0.0017228,0.0017228
9,2436.44,1.75046,1.74014,1.85661,0.56463,0.45528,0.46792,0.16862,2.25702,1.91549,2.21618,0.0016832,0.0016832,0.0016832
10,2648.61,1.72737,1.73455,1.82826,0.6062,0.45325,0.49901,0.16982,2.30144,1.81644,2.2779,0.0016436,0.0016436,0.0016436
11,2888.04,1.71496,1.70026,1.80709,0.62585,0.46545,0.51445,0.19399,2.21962,1.77323,2.2037,0.001604,0.001604,0.001604
12,3136.41,1.70945,1.67184,1.79935,0.57743,0.53048,0.50758,0.18577,2.18848,1.82293,2.22718,0.0015644,0.0015644,0.0015644
13,3916.08,1.67639,1.61135,1.77708,0.59559,0.50888,0.52774,0.18058,2.27936,1.77806,2.28167,0.0015248,0.0015248,0.0015248
14,4131.15,1.63986,1.57999,1.76021,0.60965,0.49593,0.51648,0.18604,2.27434,1.72868,2.26621,0.0014852,0.0014852,0.0014852
15,4346.09,1.65181,1.56727,1.76093,0.56423,0.4939,0.5192,0.18155,2.34075,1.75242,2.3518,0.0014456,0.0014456,0.0014456
16,4570.54,1.61864,1.56187,1.74419,0.60697,0.54472,0.56423,0.21472,2.2007,1.6561,2.18726,0.001406,0.001406,0.001406
17,4786.12,1.63721,1.53841,1.75015,0.59956,0.49604,0.5041,0.19659,2.22461,1.73066,2.23215,0.0013664,0.0013664,0.0013664
18,4999.17,1.63016,1.50649,1.73123,0.60333,0.52846,0.54094,0.18634,2.31943,1.74125,2.32237,0.0013268,0.0013268,0.0013268
19,5222.2,1.61454,1.48385,1.72273,0.65302,0.49345,0.55067,0.19905,2.25982,1.68947,2.23481,0.0012872,0.0012872,0.0012872
20,5449.37,1.59013,1.43475,1.6999,0.60227,0.49797,0.53321,0.18775,2.25992,1.74715,2.28341,0.0012476,0.0012476,0.0012476
21,5738.68,1.60907,1.44456,1.70735,0.60283,0.52033,0.53877,0.19874,2.2712,1.65419,2.27354,0.001208,0.001208,0.001208
22,5981.51,1.582,1.42414,1.70149,0.5711,0.53252,0.55182,0.1973,2.25313,1.69495,2.23683,0.0011684,0.0011684,0.0011684
23,6240.44,1.57057,1.40636,1.6925,0.60097,0.44512,0.48239,0.17083,2.33746,1.77884,2.3445,0.0011288,0.0011288,0.0011288
24,6488.65,1.55941,1.38631,1.69375,0.59128,0.51423,0.55576,0.20296,2.23448,1.64983,2.2312,0.0010892,0.0010892,0.0010892
